"case","regime","k","preparation","classical","stress"
"paraboloid-disk-rep2-n240-r64","ambient",239,7.053,0.0100000000000477,1.51400000000001
"paraboloid-disk-rep2-n240-r64","ambient",32,1.208,0.01400000000001,1.32599999999999
"paraboloid-disk-rep2-n240-r64","ambient",4,0.64500000000001,0.0139999999999816,2.02000000000001
"paraboloid-disk-rep2-n240-r64","ambient",64,2.07299999999998,0.0150000000000148,1.309
"paraboloid-disk-rep2-n240-r64","ambient",8,0.653999999999996,0.01400000000001,1.499
"paraboloid-disk-rep2-n240-r64","geodesic",128,3.81,0.0140000000000029,1.737
"paraboloid-disk-rep2-n240-r64","geodesic",16,0.836,0.0139999999999993,2.203
"paraboloid-disk-rep2-n240-r64","geodesic",239,6.111,0.0150000000000006,1.735
"paraboloid-disk-rep2-n240-r64","geodesic",32,1.203,0.0130000000000017,1.626
"paraboloid-disk-rep2-n240-r64","geodesic",4,0.749,0.0149999999999997,3.29
"paraboloid-disk-rep2-n240-r64","geodesic",64,2.071,0.0129999999999981,1.713
"paraboloid-disk-rep2-n240-r64","geodesic",8,0.651000000000001,0.0140000000000011,2.062
"paraboloid-disk-rep2-n240-r8","ambient",128,4.04500000000002,0.0129999999999768,0.823000000000008
"paraboloid-disk-rep2-n240-r8","ambient",16,0.810000000000002,0.0129999999999768,0.615000000000009
"paraboloid-disk-rep2-n240-r8","ambient",239,6.18299999999999,0.0109999999999957,0.811999999999983
"paraboloid-disk-rep2-n240-r8","ambient",32,1.27599999999998,0.0150000000000148,0.606999999999999
"paraboloid-disk-rep2-n240-r8","ambient",4,0.525999999999982,0.0139999999999816,1.08800000000002
"paraboloid-disk-rep2-n240-r8","ambient",64,2.12599999999998,0.01400000000001,0.650999999999982
"paraboloid-disk-rep2-n240-r8","ambient",8,0.672000000000025,0.0129999999999768,0.817000000000007
"paraboloid-disk-rep2-n240-r8","geodesic",128,4.076,0.0140000000000029,0.579999999999998
"paraboloid-disk-rep2-n240-r8","geodesic",16,0.803000000000001,0.0139999999999993,0.611999999999998
"paraboloid-disk-rep2-n240-r8","geodesic",239,6.863,0.0160000000000053,0.63600000000001
"paraboloid-disk-rep2-n240-r8","geodesic",32,1.246,0.0139999999999993,0.617999999999999
"paraboloid-disk-rep2-n240-r8","geodesic",4,0.626,0.0150000000000001,1.93
"paraboloid-disk-rep2-n240-r8","geodesic",64,2.166,0.0130000000000017,0.614000000000001
"paraboloid-disk-rep2-n240-r8","geodesic",8,0.616,0.0140000000000002,0.926
"paraboloid-disk-rep3-n240-r1","ambient",128,4.37900000000002,0.0129999999999768,0.742999999999995
"paraboloid-disk-rep3-n240-r1","ambient",16,0.818000000000012,0.0130000000000052,0.681000000000012
"paraboloid-disk-rep3-n240-r1","ambient",239,7.52100000000002,0.0159999999999911,0.649000000000001
