"case","surface","sampling","replicate","n","radius","regime","k","start","initialization","initial_raw_stress","raw_stress","normalized_stress","iterations","converged","termination","backend_stress","warnings","error","selected","initialization_description"
"paraboloid-disk-rep1-n240-r2","paraboloid","disk",1,240,2,"ambient",4,3,"random",129316.86554175,1857.10582667015,0.0044214997622568,179,TRUE,"stress_tolerance",0.0664943588754477,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r2","paraboloid","disk",1,240,2,"ambient",64,1,"supplied",1279.47200668973,1188.12409829451,0.00501197815666662,20,TRUE,"stress_tolerance",0.0707953258108656,"","",TRUE,"classical"
"paraboloid-disk-rep1-n240-r2","paraboloid","disk",1,240,2,"ambient",64,2,"random",69913.8501596643,1188.12527902217,0.00501198313744367,82,TRUE,"stress_tolerance",0.0707953609881585,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r2","paraboloid","disk",1,240,2,"ambient",64,3,"random",68400.5295963931,1188.12437852785,0.00501197933880188,79,TRUE,"stress_tolerance",0.0707953341598295,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r2","paraboloid","disk",1,240,2,"ambient",8,1,"supplied",1764.60344562079,1572.11444013342,0.00545929511260841,26,TRUE,"stress_tolerance",0.0738870429277584,"","",FALSE,"classical"
"paraboloid-disk-rep1-n240-r2","paraboloid","disk",1,240,2,"ambient",8,2,"random",85377.1973178364,1572.11675935758,0.00545930316630272,86,TRUE,"stress_tolerance",0.0738870974277829,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r2","paraboloid","disk",1,240,2,"ambient",8,3,"random",84056.304725345,1572.11391444908,0.0054592932871268,88,TRUE,"stress_tolerance",0.0738870305745658,"","",TRUE,"Gaussian"
"paraboloid-disk-rep1-n240-r2","paraboloid","disk",1,240,2,"geodesic",128,1,"supplied",1452.13752910637,1365.42815414189,0.00540308392785083,22,TRUE,"stress_tolerance",0.0735056727596639,"","",TRUE,"classical"
"paraboloid-disk-rep1-n240-r2","paraboloid","disk",1,240,2,"geodesic",128,2,"random",74934.2631466231,1365.42936712699,0.00540308872770813,85,TRUE,"stress_tolerance",0.0735057054092273,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r2","paraboloid","disk",1,240,2,"geodesic",128,3,"random",73304.0208437937,1365.43057450622,0.00540309350538265,82,TRUE,"stress_tolerance",0.0735057379078847,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r2","paraboloid","disk",1,240,2,"geodesic",16,1,"supplied",1521.94859343347,1422.17000061669,0.00541264185290743,23,TRUE,"stress_tolerance",0.0735706589130986,"","",TRUE,"classical"
"paraboloid-disk-rep1-n240-r2","paraboloid","disk",1,240,2,"geodesic",16,2,"random",77948.3131875259,1422.17120006684,0.00541264641789903,85,TRUE,"stress_tolerance",0.073570689937631,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r2","paraboloid","disk",1,240,2,"geodesic",16,3,"random",76274.4050774163,1422.17256653673,0.00541265161855162,81,TRUE,"stress_tolerance",0.073570725282218,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r2","paraboloid","disk",1,240,2,"geodesic",239,1,"supplied",1448.51402849355,1361.91935337407,0.00539115554343972,22,TRUE,"stress_tolerance",0.0734244887175915,"","",TRUE,"classical"
"paraboloid-disk-rep1-n240-r2","paraboloid","disk",1,240,2,"geodesic",239,2,"random",74896.3208893051,1361.92055945591,0.00539116031771275,85,TRUE,"stress_tolerance",0.0734245212290326,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r2","paraboloid","disk",1,240,2,"geodesic",239,3,"random",73265.5278216071,1361.92177784455,0.00539116514070217,82,TRUE,"stress_tolerance",0.0734245540722051,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r2","paraboloid","disk",1,240,2,"geodesic",32,1,"supplied",1469.9582074241,1379.75721803426,0.00540189218650065,22,TRUE,"stress_tolerance",0.0734975658542557,"","",TRUE,"classical"
"paraboloid-disk-rep1-n240-r2","paraboloid","disk",1,240,2,"geodesic",32,2,"random",75778.8618809147,1379.75794371321,0.00540189502760877,85,TRUE,"stress_tolerance",0.07349758518216,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r2","paraboloid","disk",1,240,2,"geodesic",32,3,"random",74151.9627812214,1379.75920892888,0.00540189998105897,82,TRUE,"stress_tolerance",0.0734976188801994,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r2","paraboloid","disk",1,240,2,"geodesic",4,1,"supplied",2535.15297179512,1861.50310623677,0.00441107941506523,60,TRUE,"stress_tolerance",0.0664159575333006,"","",TRUE,"classical"
"paraboloid-disk-rep1-n240-r2","paraboloid","disk",1,240,2,"geodesic",4,2,"random",132852.496258471,1861.54737771832,0.0044111843222342,169,TRUE,"stress_tolerance",0.0664167473024255,"","",FALSE,"Gaussian"
