surface,sampling,regime,radius,method,min,median,max
paraboloid,surface_area,ambient,8,classical_primary,0.999999999999999,1.04952954424698,1.47960677322349
paraboloid,surface_area,ambient,8,classical_uniform,0.999999999999999,1.04955027338381,1.4798055416612
paraboloid,surface_area,ambient,8,original,1.0,1.0,1.0
paraboloid,surface_area,ambient,8,stress,1.0,1.11091830947254,1.25040965531207
paraboloid,surface_area,ambient,8,stress_fixed_primary,0.999999999901492,1.0000000016894,1.00168845441533
paraboloid,surface_area,ambient,8,stress_fixed_uniform,0.999999999801813,1.00000000000404,1.0015043162406
paraboloid,surface_area,ambient,8,stress_primary,1.0,1.03267607918261,1.39247652737314
paraboloid,surface_area,ambient,8,stress_uniform,1.0,1.03268038110104,1.39089827079651
paraboloid,surface_area,ambient,16,classical,1.0,1.14557125645011,1.33343659923282
paraboloid,surface_area,ambient,16,classical_fixed_primary,0.999996339358252,1.00000014220691,1.00300551071522
paraboloid,surface_area,ambient,16,classical_fixed_uniform,0.997779598072842,1.00000031099641,1.00266662172913
paraboloid,surface_area,ambient,16,classical_primary,1.0,1.0192816487894,1.41684639396192
paraboloid,surface_area,ambient,16,classical_uniform,1.0,1.01927946991737,1.39669647449689
paraboloid,surface_area,ambient,16,original,1.0,1.0,1.0
paraboloid,surface_area,ambient,16,stress,1.0,1.07190935019367,1.26749384307275
paraboloid,surface_area,ambient,16,stress_fixed_primary,0.999999093535638,1.00000009539396,1.00329158895546
paraboloid,surface_area,ambient,16,stress_fixed_uniform,0.999999032229441,1.0,1.00292197576097
paraboloid,surface_area,ambient,16,stress_primary,1.0,1.01588670346508,1.33759424412501
paraboloid,surface_area,ambient,16,stress_uniform,1.0,1.01587717434296,1.33757986553569
paraboloid,surface_area,ambient,32,classical,0.999999999999998,1.04369369717762,1.16717490324562
paraboloid,surface_area,ambient,32,classical_fixed_primary,0.999995837166366,1.00000056335874,1.00549744603853
paraboloid,surface_area,ambient,32,classical_fixed_uniform,0.999230456976502,1.00000004830995,1.00519347120192
paraboloid,surface_area,ambient,32,classical_primary,0.999999999999998,1.0082486911535,1.22295869346626
paraboloid,surface_area,ambient,32,classical_uniform,0.999999999999998,1.00832247122537,1.23749129095814
paraboloid,surface_area,ambient,32,original,1.0,1.0,1.0
paraboloid,surface_area,ambient,32,stress,0.999999999999998,1.02443808422462,1.21685982333559
paraboloid,surface_area,ambient,32,stress_fixed_primary,0.999996332295158,1.00000158578943,1.0057556149505
paraboloid,surface_area,ambient,32,stress_fixed_uniform,0.999994368872685,1.0,1.00586994089143
paraboloid,surface_area,ambient,32,stress_primary,0.999999999999998,1.00784490215513,1.25764960171361
paraboloid,surface_area,ambient,32,stress_uniform,0.999999999999998,1.0078456621147,1.24806662323065
paraboloid,surface_area,ambient,64,classical,0.990580040363984,1.01201727901223,1.17876878826795
paraboloid,surface_area,ambient,64,classical_fixed_primary,0.999998005543665,1.00000012500312,1.00592796833106
paraboloid,surface_area,ambient,64,classical_fixed_uniform,0.999995575884333,1.00000070896606,1.00577549049816
paraboloid,surface_area,ambient,64,classical_primary,0.999999999999999,1.00276304089952,1.18248342041578
paraboloid,surface_area,ambient,64,classical_uniform,0.999999999999999,1.00276006264896,1.18197162292908
paraboloid,surface_area,ambient,64,original,1.0,1.0,1.0
paraboloid,surface_area,ambient,64,stress,1.0,1.00505982526441,1.1811960823389
paraboloid,surface_area,ambient,64,stress_fixed_primary,0.9999983794802,1.0000004614245,1.0066256736357
paraboloid,surface_area,ambient,64,stress_fixed_uniform,0.999997007527962,1.00000024312769,1.00591972907256
paraboloid,surface_area,ambient,64,stress_primary,1.0,1.00278175594341,1.19232965567776
paraboloid,surface_area,ambient,64,stress_uniform,1.0,1.0027739949851,1.18664699825977
paraboloid,surface_area,geodesic,1,classical,1.06636840682295,1.18236992274405,1.28659334320666
paraboloid,surface_area,geodesic,1,classical_fixed_primary,0.995828714084997,0.999992966510092,1.00115228781562
paraboloid,surface_area,geodesic,1,classical_fixed_uniform,0.99582871010867,0.999992402196936,1.00111210115486
paraboloid,surface_area,geodesic,1,classical_primary,9.99459637172765e-06,1.20438369625054,1.43951275979604
paraboloid,surface_area,geodesic,1,classical_uniform,1.52422354379957e-06,1.20249595407466,1.44055540785119
paraboloid,surface_area,geodesic,1,full_classical,1.06636840682295,1.1754605051974,1.18125068505434
paraboloid,surface_area,geodesic,1,full_classical_fixed_primary,0.995828714084997,0.999992364905954,1.00030770085
paraboloid,surface_area,geodesic,1,full_classical_fixed_uniform,0.99582871010867,0.999993343258083,1.00030473519463
paraboloid,surface_area,geodesic,1,full_classical_primary,9.99459637172765e-06,1.19601905591734,1.23458606875785
paraboloid,surface_area,geodesic,1,full_classical_uniform,1.52422354379957e-06,1.19412576133198,1.23558792827935
paraboloid,surface_area,geodesic,1,original,0.868828182234652,0.993029897452126,0.99885133850001
paraboloid,surface_area,geodesic,1,stress,0.99582864466604,1.0758241513857,1.19199162721622
paraboloid,surface_area,geodesic,1,stress_fixed_primary,0.995828713747839,0.999993283268275,1.0009899292991
paraboloid,surface_area,geodesic,1,stress_fixed_uniform,0.995828714901966,0.999991762396464,1.00100653248346
paraboloid,surface_area,geodesic,1,stress_primary,9.40937231959464e-06,1.12114549955043,1.31094095528462
