surface,sampling,regime,method,comparison,k240,k480,path_rel_n240,path_rel_n480,path_rel_difference,graph_reference_n240,graph_reference_n480,graph_reference_difference,path_reference_n240,path_reference_n480,path_reference_difference,procrustes_n240,procrustes_n480,procrustes_difference,sigma2_sigma1_n240,sigma2_sigma1_n480,sigma2_sigma1_difference,sigma3_sigma2_n240,sigma3_sigma2_n480,sigma3_sigma2_difference
paraboloid,disk,geodesic,stress_primary,fixed k=64,64,64,0.0015527821574662,0.0023801143752929,0.0008273322178267001,0.0001609292839193,0.0006482761893693,0.00048734690545,0.0016078734243354,0.0033730108098228,0.0017651373854874,0.0122821883486567,0.0125619621387115,0.0002797737900547999,0.0376265593198802,0.0370415600463489,-0.0005849992735313045,0.846112092310736,0.93588295405544,0.08977086174470394
paraboloid,disk,geodesic,stress_fixed_primary,fixed k=64,64,64,0.0015570482881318,0.0024698602543694,0.0009128119662376,0.0001609292839193,0.0006482761893693,0.00048734690545,0.0016475350304975,0.0047662821919865,0.003118747161489,0.0123637839383062,0.0129857353482523,0.0006219514099461004,0.037668842106569,0.037296041180629,-0.0003728009259399978,0.846544971453508,0.936405696565261,0.08986072511175291
paraboloid,disk,geodesic,classical,fixed k/n from k=64,64,128,0.0022257417698751,0.0023379871673518,0.00011224539747669996,0.0001609292839193,6.8557500870891e-05,-9.237178304840899e-05,0.0042539923101095,0.0044207767688155,0.00016678445870599995,0.0162696192077832,0.0166496364532648,0.0003800172454816002,0.0404363319149522,0.0399984509305624,-0.00043788098438980044,0.86776236291868,0.949679302922478,0.08191694000379801
paraboloid,disk,geodesic,stress,fixed k/n from k=64,64,128,0.0015875523309335,0.0017179485728205,0.00013039624188699987,0.0001609292839193,6.8557500870891e-05,-9.237178304840899e-05,0.0016803067396837,0.0018373510932706,0.00015704435358690006,0.0124300472561587,0.0126952231251729,0.0002651758690142003,0.0377552837781161,0.0372582992964322,-0.0004969844816839,0.855130365257066,0.942170960541225,0.08704059528415897
paraboloid,disk,geodesic,stress_primary,fixed k/n from k=64,64,128,0.0015527821574662,0.0016680189292873,0.00011523677182109998,0.0001609292839193,6.8557500870891e-05,-9.237178304840899e-05,0.0016078734243354,0.0017221164047755,0.00011424298044009984,0.0122821883486567,0.0121297323352053,-0.00015245601345140018,0.0376265593198802,0.036903729614664,-0.0007228297052161992,0.846112092310736,0.93601584986669,0.08990375755595392
paraboloid,disk,geodesic,stress_fixed_primary,fixed k/n from k=64,64,128,0.0015570482881318,0.001670767789166,0.0001137195010342,0.0001609292839193,6.8557500870891e-05,-9.237178304840899e-05,0.0016475350304975,0.0017721828483626,0.00012464781786509995,0.0123637839383062,0.0121922404845496,-0.0001715434537565997,0.037668842106569,0.0369445495827699,-0.0007242925237990958,0.846544971453508,0.936089606049043,0.08954463459553497
paraboloid,disk,geodesic,classical,complete graph,239,479,0.0019337242847206,0.002058645862871,0.0001249215781504,0.0,0.0,0.0,0.0019337931345177,0.0020588390081411,0.00012504587362340003,0.0162032832823893,0.0166258108468924,0.0004225275645031029,0.0401827336176233,0.039979434258399,-0.00020329935922430015,0.879652428061945,0.950450018168728,0.07079759010678299
paraboloid,disk,geodesic,stress,complete graph,239,479,0.0014182589154846,0.0015518379134428,0.0001335789979582001,0.0,0.0,0.0,0.0014183192187611,0.0015520135522979,0.00013369433353679992,0.0124950334903071,0.0126940057070671,0.00019897221676000096,0.0377023876631359,0.0372527594587521,-0.00044962820438379514,0.86103034165618,0.942652229624355,0.08162188796817504
paraboloid,disk,geodesic,stress_primary,complete graph,239,479,0.0013798453998153,0.0015223892775445,0.00014254387772920005,0.0,0.0,0.0,0.0013799063669508,0.0015225651896628,0.00014265882271200002,0.0119500076230235,0.0119565871682547,6.579545231200079e-06,0.0374318814372133,0.0367941999217132,-0.000637681515500102,0.846724452612637,0.936395410505813,0.08967095789317603
paraboloid,disk,geodesic,stress_fixed_primary,complete graph,239,479,0.0013798436405036,0.0015223888066301,0.00014254516612649992,0.0,0.0,0.0,0.0013799046065497,0.0015225647156646,0.00014266010911490002,0.0119500900164757,0.0119566899440118,6.599927536101238e-06,0.0374319492321323,0.0367942895644178,-0.0006376596677145005,0.846725041756306,0.936395550118785,0.08967050836247892
paraboloid,disk,ambient,classical,fixed k=8,8,8,0.0251237338964596,0.0274970728047599,0.0023733389083002987,0.0766373391636961,0.0743914549722875,-0.002245884191408601,0.108007797135343,0.0387977911619351,-0.0692100059734079,0.0904028907084703,0.0837893969101758,-0.006613493798294498,0.0785441286972849,0.067183025356835,-0.011361103340449902,0.519179028638225,0.58942810149811,0.07024907285988502
paraboloid,disk,ambient,stress,fixed k=8,8,8,0.011794770878621,0.0169307338622279,0.0051359629836069,0.0766373391636961,0.0743914549722875,-0.002245884191408601,0.0493589775931824,0.0522177967561712,0.0028588191629888016,0.095415476530241,0.0912044669886155,-0.004211009541625496,0.0796856535548958,0.0727559376507016,-0.006929715904194209,0.664808555959643,0.739378871126721,0.0745703151670779
