"case","fit","edge_scale","profiled_uniform_energy","energy_after_halving","edge_relative_rmse","final_gradient","elapsed"
"paraboloid-surface_area-rep1-n240-r8","ambient-k239-classical_uniform.rds",0.999999999999999,3.26959009273172e-27,8.1739752318293e-28,4.94802210681186e-16,9.72214543651196e-13,0.00400000000000489
"paraboloid-surface_area-rep1-n240-r8","ambient-k239-stress_primary.rds",1,7.34122098682007e-25,1.83530524670502e-25,7.41428243378569e-15,1.66756363401083e-11,0.0200000000000102
"paraboloid-surface_area-rep1-n240-r8","ambient-k239-stress_uniform.rds",1,7.34122098682007e-25,1.83530524670502e-25,7.41428243378569e-15,1.66756363401083e-11,0.00500000000000966
"paraboloid-surface_area-rep1-n240-r8","ambient-k32-classical_primary.rds",1.04952954424698,5.10922283983596e-16,1.27730570995899e-16,1.68940864837002e-09,9.1816801988817e-09,0.741
"paraboloid-surface_area-rep1-n240-r8","ambient-k32-classical_uniform.rds",1.04955027338381,6.18723779275288e-16,1.54680944818822e-16,1.85907588192027e-09,9.90515471299687e-09,0.73599999999999
"paraboloid-surface_area-rep1-n240-r8","ambient-k32-stress_primary.rds",1.03267607918261,5.73008219933918e-16,1.4325205498348e-16,1.81831142666593e-09,9.5865583688163e-09,0.695999999999998
"paraboloid-surface_area-rep1-n240-r8","ambient-k32-stress_uniform.rds",1.03268038110104,5.16170063815204e-16,1.29042515953801e-16,1.72576810938768e-09,9.0435510652962e-09,0.718000000000004
"paraboloid-surface_area-rep1-n240-r8","ambient-k4-classical_primary.rds",1.41799524941403,0.000245948575367744,6.14871438419361e-05,0.00601060804184346,0.000663354355028926,0.105999999999995
"paraboloid-surface_area-rep1-n240-r8","ambient-k4-classical_uniform.rds",1.41657833494266,0.000236305845193524,5.9076461298381e-05,0.00589749613641596,0.000446458095774984,0.0930000000000035
"paraboloid-surface_area-rep1-n240-r8","ambient-k4-stress_primary.rds",1.36492408860414,1.93910394983684e-05,4.84775987459211e-06,0.00175332762463573,0.000577987640942665,0.10799999999999
"paraboloid-surface_area-rep1-n240-r8","ambient-k4-stress_uniform.rds",1.36563829737813,1.77535781638818e-05,4.43839454097045e-06,0.00167678850915105,0.000461493660532028,0.10499999999999
