"replicate","k","edges","bridges","components_before","graph_seconds","xg_error","xg_profiled_error","fitted_scale","mean_pair_relative_bias","fraction_shorter","coarse_error","sources32_error","sources64_error","fine16_error","fine128_error","medium16_error"
4,51,28397,0,1,0.484999999999999,0.00318774780118001,0.00273064681740882,1.0016373352299,0.00168458369560135,0.329494588455371,0.0031459611913645,0.00349317250774679,0.00321140444698626,0.0037562760178221,NA,0.0037450936021175
4,52,28943,0,1,0.494,0.00309528635107826,0.00269496927088249,1.00151522664747,0.00155389286179013,0.345345069481561,0.00305551458915806,0.00336399713006233,0.00311484384414725,0.00355814469121451,NA,0.00354730595832334
4,53,29499,0,1,0.498000000000005,0.0029793867951087,0.00262731989486541,1.00139807761756,0.00143507828972904,0.358940740245858,0.00294105660364089,0.00324615058058139,0.00301170801022254,0.0034236081170063,NA,0.00341309511026558
4,54,30090,0,1,0.506999999999991,0.00289989858262599,0.00259605393881538,1.00128552596413,0.00132216666550685,0.372920563869588,0.00286376688966503,0.00317480066616229,0.00293668642115856,0.00334652240432255,NA,0.00333660752316832
4,55,30651,0,1,0.515000000000001,0.00277478203105547,0.00251825874326063,1.00115891367575,0.00119112246221592,0.387927578834848,0.00274074518036832,0.00298983432201104,0.00279758263880358,0.00323597885598649,NA,0.00322643372941708
4,56,31202,0,1,0.515000000000001,0.00268131096929809,0.00247641315918045,1.00102189343985,0.0010532439221352,0.407753206841261,0.00265037244237002,0.0029135833072084,0.00270340067973627,0.00313798831506684,NA,0.00312914702509208
4,57,31767,0,1,0.529000000000011,0.00251235560553437,0.00235827885740303,1.00086074004404,0.000884282140261989,0.42795463655799,0.00248494395851349,0.00270535201187976,0.00257135176534602,0.00288129119549712,NA,0.00287305822839223
4,58,32318,0,1,0.530999999999992,0.00235885169608822,0.0022380980523429,1.00074005519607,0.000757928838319714,0.439846672902191,0.00233431519164533,0.00259877127604326,0.00236466571104329,0.00278243738667043,NA,0.00277485213430075
4,59,32909,0,1,0.537000000000006,0.00230677881167204,0.00221129328016519,1.00065194528088,0.000659942181164292,0.45268238909674,0.00228470025947369,0.002516822877811,0.00230219111994055,0.00265085704843694,NA,0.00264386762027053
4,60,33475,0,1,0.542000000000002,0.00223734899832509,0.00216602009995962,1.00055576177096,0.00056821463901826,0.465192410475681,0.00221810132066172,0.00234738602555604,0.00220152895744364,0.00236021424612375,NA,0.00235444634908699
4,61,34033,0,1,0.551000000000002,0.00219131294720392,0.00214146129284842,1.00046018938248,0.000471303257649478,0.47873797434527,0.00217529566547558,0.00229982958064543,0.00215349349293497,0.00229502394208524,NA,0.00229015165031484
4,62,34605,0,1,0.556999999999988,0.00217532719189853,0.00214119173171091,1.00037929903007,0.00038907984593457,0.493594668626403,0.00216217890812667,0.00229372754150531,0.00214092395628828,0.00229572620874542,NA,0.00229144527320833
4,63,35191,0,1,0.562000000000012,0.00215958661947088,0.00213678208476952,1.00030847904984,0.000318531808534841,0.50306487172635,0.00214902901308676,0.00227263310596267,0.00211960647276062,0.00226280889421309,NA,0.00225941819238516
4,64,35769,0,1,0.567999999999998,0.00212970721404368,0.00211858166143875,1.00021296161389,0.000224092144002819,0.516192878140032,0.00212270965155849,0.00222931546991656,0.00208703528740842,0.00220623322583447,NA,0.00220392637769072
4,65,36348,0,1,0.573999999999984,0.00210684746758846,0.0021026276918791,1.00012893004662,0.000138738892845594,0.527976349545697,0.00210314740283082,0.00219086327733029,0.00205997479074283,0.00214938311560726,NA,0.00214837900294156
4,66,36907,0,1,0.585000000000008,0.0021021509730768,0.00210113849539083,1.00006097031236,7.14067091945462e-05,0.538331774452165,0.0021010838479681,0.00217790947885268,0.00205239865237035,0.00215814128594621,NA,0.00215783162403053
4,67,37481,0,1,0.590000000000003,0.00208195477811295,0.00208180329871006,0.999970180756766,-1.70943954391219e-05,0.55220303313736,0.00208472235469258,0.00216098823032571,0.00203685765855601,0.00212641541126759,NA,0.00212730566998182
4,68,38035,0,1,0.59899999999999,0.00207573689667151,0.0020735884220716,0.999901184803301,-8.67740581282551e-05,0.561272381079637,0.00208133658850635,0.0021581725102429,0.00203527961230691,0.0021296559718117,NA,0.00213110899335208
4,69,38600,0,1,0.594999999999999,0.00206821120621205,0.00206030418650159,0.999815028485291,-0.000170743467218573,0.573824158204169,0.00207732119299538,0.00214228455982904,0.00202602163681721,0.0021061554042672,NA,0.00210863242454591
4,70,39163,0,1,0.611000000000018,0.00205168835813078,0.00203545862083034,0.999738271576364,-0.000252861560442938,0.586659874398717,0.00206377188095967,0.00210125704828195,0.0020074372712414,0.00212222901178463,NA,0.00212529893956708
4,71,39751,0,1,0.626999999999981,0.00203997750586838,0.00201105731299516,0.999653650842897,-0.000340059169371969,0.599336918760021,0.00205551869649363,0.00209671489369006,0.00200782796925375,0.0021154789818189,NA,0.00211938625728255
4,72,40296,0,1,0.622000000000014,0.00203231329713091,0.00198587289144438,0.999564059781155,-0.000425747208108265,0.611020176376269,0.00205151162266838,0.0020646505006825,0.00199394855400831,0.00208677375426899,NA,0.00209163893793262
4,73,40873,0,1,0.629999999999995,0.00204084272968345,0.00197883160303318,0.999496805870314,-0.000493465521061018,0.621375601282737,0.00206253876020731,0.00207493932178708,0.00200278020832521,0.00210467559790679,NA,0.00211020890767616
4,74,41453,0,1,0.631,0.00205618208855838,0.00197474846443181,0.999423154303805,-0.000568692333917786,0.63143873597007,0.00208064532510871,0.00208447246312517,0.00201930430434031,0.00210806055989654,NA,0.00211468470472336
4,75,42034,0,1,0.640000000000015,0.00207433467257818,0.00197427370074167,0.999359610858916,-0.000631619452007151,0.639230358097274,0.00210101370227006,0.00210904191955865,0.00202913897156589,0.00212551395326731,NA,0.00213264176405867
4,76,42616,0,1,0.64500000000001,0.00209225863075072,0.00197159601805101,0.99929584964259,-0.000699823182965177,0.647940606627472,0.00212119840006472,0.00213233511583376,0.00205568184930943,0.00214999452803376,NA,0.00215761695359592
4,77,43161,0,1,0.653999999999996,0.00212036261029374,0.00197915003512846,0.999235217806453,-0.000759326921492416,0.65736070283271,0.00215127194597221,0.00215970936125371,0.00208184783710871,0.00217993502538185,NA,0.00218806833328832
4,78,43729,0,1,0.658000000000015,0.00213536363728012,0.00197444775210092,0.999182869404404,-0.000813925394703032,0.665427912880812,0.0021679719131611,0.0021731139803224,0.00209679573653673,0.00219058217972415,NA,0.00219912320497937
